v, x, y
0.8301352532154591, -0.445, -0.485
0.8437446332371631, -0.44, -0.485
0.8553686231895092, -0.435, -0.485
0.865405302291589, -0.43, -0.485
0.8741545444389347, -0.425, -0.485
0.8818460867815605, -0.42, -0.485
0.888658640266709, -0.415, -0.485
0.8947331551772191, -0.41000000000000003, -0.485
0.9001821982326321, -0.405, -0.485
0.905096694056239, -0.4, -0.485
0.9095508482465255, -0.395, -0.485
0.9136057948661549, -0.39, -0.485
0.9173123351439587, -0.385, -0.485
0.9207130193046795, -0.38, -0.485
0.9238437472012591, -0.375, -0.485
0.9267350120205557, -0.37, -0.485
0.9294128761527316, -0.365, -0.485
0.9318997438957966, -0.36, -0.485
0.9342149784921742, -0.355, -0.485
0.9363753987636355, -0.35, -0.485
0.9383956817990575, -0.345, -0.485
0.9402886917306725, -0.33999999999999997, -0.485
0.9420657499104196, -0.33499999999999996, -0.485
0.9437368582873479, -0.32999999999999996, -0.485
0.9453108851541119, -0.32499999999999996, -0.485
0.9467957204388847, -0.32, -0.485
0.9481984062000216, -0.315, -0.485
0.9495252468133668, -0.31, -0.485
0.9507819024382937, -0.305, -0.485
0.9519734686439956, -0.3, -0.485
0.9531045445246835, -0.295, -0.485
0.9541792911958089, -0.29000000000000004, -0.485
0.9552014822166859, -0.28500000000000003, -0.485
0.9561745472079235, -0.28, -0.485
0.957101609709637, -0.275, -0.485
0.957985520146857, -0.27, -0.485
0.9588288846228866, -0.265, -0.485
0.9596340901426564, -0.26, -0.485
0.9604033267709277, -0.255, -0.485
0.9611386071502873, -0.25, -0.485
0.9618417837379075, -0.245, -0.485
0.9625145640653523, -0.24, -0.485
0.9631585242802223, -0.235, -0.485
0.9637751211904243, -0.22999999999999998, -0.485
0.9643657030000238, -0.22499999999999998, -0.485
0.9649315188988559, -0.21999999999999997, -0.485
0.9654737276454948, -0.21499999999999997, -0.485
0.9659934052640621, -0.21000000000000002, -0.485
0.9664915519591405, -0.20500000000000002, -0.485
0.9669690983392438, -0.2, -0.485
0.9674269110275098, -0.195, -0.485
0.9678657977281884, -0.19, -0.485
0.9682865118088431, -0.185, -0.485
0.9686897564507184, -0.18, -0.485
0.969076188413313, -0.175, -0.485
0.9694464214536291, -0.16999999999999998, -0.485
0.969801029435754, -0.16499999999999998, -0.485
0.9701405491622455, -0.15999999999999998, -0.485
0.9704654829551507, -0.15499999999999997, -0.485
0.9707763010113029, -0.14999999999999997, -0.485
0.9710734435537722, -0.14500000000000002, -0.485
0.9713573227988992, -0.14, -0.485
0.9716283247562147, -0.135, -0.485
0.971886810876657, -0.13, -0.485
0.9721331195628509, -0.125, -0.485
0.9723675675537433, -0.12, -0.485
0.9725904511945969, -0.11499999999999999, -0.485
0.9728020476021957, -0.10999999999999999, -0.485
0.9730026157340991, -0.10499999999999998, -0.485
0.9731923973698675, -0.09999999999999998, -0.485
0.9733716180113825, -0.09499999999999997, -0.485
0.9735404877086539, -0.08999999999999997, -0.485
0.9736992018168635, -0.08499999999999996, -0.485
0.9738479416898135, -0.08000000000000002, -0.485
0.9739868753144247, -0.07500000000000001, -0.485
