v, x, y
0.7979097563170655, 0.07000000000000006, -0.4975
0.797878525167814, 0.07250000000000001, -0.4975
0.7978471846252706, 0.07500000000000007, -0.4975
0.7978157337447546, 0.07750000000000001, -0.4975
0.7977841713573866, 0.07999999999999996, -0.4975
0.7977524960727281, 0.08250000000000002, -0.4975
0.7977207062792587, 0.08499999999999996, -0.4975
0.7976888001466562, 0.08750000000000002, -0.4975
0.7976567756259102, 0.08999999999999997, -0.4975
0.7976246304512202, 0.09250000000000003, -0.4975
0.7975923621397261, 0.09499999999999997, -0.4975
0.7975599679930024, 0.09750000000000003, -0.4975
0.7975274450963846, 0.09999999999999998, -0.4975
0.7974947903200382, 0.10250000000000004, -0.4975
0.7974620003178587, 0.10499999999999998, -0.4975
0.7974290715280958, 0.10750000000000004, -0.4975
0.7973960001718028, 0.10999999999999999, -0.4975
0.7973627822529912, 0.11250000000000004, -0.4975
0.7973294135566099, 0.11499999999999999, -0.4975
0.7972958896482031, 0.11750000000000005, -0.4975
0.7972622058713933, 0.12, -0.4975
0.7972283573470169, 0.12250000000000005, -0.4975
0.7971943389700828, 0.125, -0.4975
0.7971601454083572, 0.12750000000000006, -0.4975
0.7971257710987664, 0.13, -0.4975
0.7970912102453975, 0.13250000000000006, -0.4975
0.7970564568153133, 0.135, -0.4975
0.7970215045359326, 0.13750000000000007, -0.4975
0.796986346890218, 0.14, -0.4975
0.7969509771133958, 0.14249999999999996, -0.4975
0.7969153881874752, 0.14500000000000002, -0.4975
0.7968795728372615, 0.14749999999999996, -0.4975
0.7968435235241578, 0.15000000000000002, -0.4975
0.7968072324414214, 0.15249999999999997, -0.4975
0.7967706915071944, 0.15500000000000003, -0.4975
0.796733892358944, 0.15749999999999997, -0.4975
0.7966968263456606, 0.16000000000000003, -0.4975
0.7966594845214174, 0.16249999999999998, -0.4975
0.7966218576366655, 0.16500000000000004, -0.4975
0.7965839361308384, 0.16749999999999998, -0.4975
0.7965457101226656, 0.17000000000000004, -0.4975
0.796507169401737, 0.1725, -0.4975
0.796468303417746, 0.17500000000000004, -0.4975
0.7964291012709163, 0.1775, -0.4975
0.7963895517000731, 0.18000000000000005, -0.4975
0.7963496430718238, 0.1825, -0.4975
0.7963093633673394, 0.18500000000000005, -0.4975
0.7962687001701659, 0.1875, -0.4975
0.7962276406515834, 0.19000000000000006, -0.4975
0.7961861715569043, 0.1925, -0.4975
